S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% ofVotes,constituency_number
3,DURGAPRASAD JATAV,Bahujan Samaj Party,742,6,748,0.4,229
4,IMRAN HUSAIN,Social Democratic Party Of India,404,1,405,0.21,229
5,GOVIND KUMAR RANVA,Aazad Samaj Party (Kanshi Ram),450,1,451,0.24,229
6,TULSIRAM MEGHWAL,Independent,181,1,182,0.1,229
7,RAJESH LALWANI ADVOCATE,Independent,288,5,293,0.15,229
8,SHYAM SUNDAR BAIRAGI,Independent,280,0,280,0.15,229
9,SURAJ YADAV,Independent,649,1,650,0.34,229
10,NOTA,None of the Above,1816,24,1840,0.97,229
1,OMPRAKASH SAKHLECHA,Bharatiya Janata Party,60216,242,60458,38,230
2,LILARAM MALVIYA,Bahujan Samaj Party,717,3,720,0.45,230
3,SAMANDAR PATEL,Indian National Congress,57541,553,58094,36.51,230
4,RETiRED FOJI-OMPRAKASH KANDARA,Aazad Samaj Party (Kanshi Ram),964,2,966,0.61,230
5,SAVITRI MEGHWAL,United National Party,286,0,286,0.18,230
6,AHIR PURANMAL,Independent,36085,66,36151,22.72,230
7,OM PRAKASH,Independent,724,0,724,0.46,230
8,MO BHURA KURESHI,Independent,397,0,397,0.25,230
9,NOTA,None of the Above,1313,2,1315,0.83,230
