S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% ofVotes,constituency_number
14,AHIRWAR RAMDEVI,Independent,817,1,818,0.49,52
15,NOTA,None of the Above,1431,2,1433,0.85,52
1,CHANDA,Aam Aadmi Party,1749,2,1751,1.02,53
2,KUNWAR PRADYUMNA SINGH LODHI,Bharatiya Janata Party,67401,120,67521,39.46,53
3,BAHIN RAMSIYA BHARTI,Indian National Congress,88613,440,89053,52.04,53
4,LAKHAN RAMTORIYA,Bahujan Samaj Party,1856,4,1860,1.09,53
5,ANUJ DINESH YADAV,Vindhya Janta Party,322,0,322,0.19,53
6,DEVENDRA LODHI,Bhartiya Shakti Chetna Party,393,1,394,0.23,53
7,ARJUN SINGH CHANDEL,Independent,262,0,262,0.15,53
8,ASHUTOSH PATHAK,Independent,294,1,295,0.17,53
9,KARAN SINGH LODHI SUNWAHA,Independent,4210,10,4220,2.47,53
10,DHARMENDRA KUMAR SAHU,Independent,399,2,401,0.23,53
11,NARAYAN AHIRWAR,Independent,365,0,365,0.21,53
12,PANCHU AHIRWAR,Independent,433,0,433,0.25,53
13,BALKISHAN KACHHI,Independent,1080,0,1080,0.63,53
14,SARMANA KUSHWAHA,Independent,1182,0,1182,0.69,53
15,HARI SINGH GOUND,Independent,858,0,858,0.5,53
16,NOTA,None of the Above,1118,0,1118,0.65,53
1,RAO BRAJENDRA SINGH,Indian National Congress,63819,625,64444,34.4,54
2,RAMBAI GOVIND SINGH,Bahujan Samaj Party,29233,106,29339,15.66,54
3,LAKHAN PATEL,Bharatiya Janata Party,82246,357,82603,44.09,54
4,KALLAN KURMI,Bhartiya Shakti Chetna Party,2605,8,2613,1.39,54
5,PRIYANKA VIKASH ROSHAN(BHEEM ARMY),Aazad Samaj Party (Kanshi Ram),479,1,480,0.26,54
6,DR. MANOJ VISHWAKARMA,Bharatiya Jan Morcha Party,167,1,168,0.09,54
7,LEELADHAR KUSHWAHA,Jan Adhikar Party,622,2,624,0.33,54
8,CHURAMAN AHIRWAL,Independent,233,1,234,0.12,54
9,DHANI BHAIYA,Independent,275,0,275,0.15,54
10,ER. NEELESH KUMAR PATEL(KURMI),Independent,165,0,165,0.09,54
11,BHAGIRATH AHIRWAR,Independent,212,0,212,0.11,54
12,RAO BHUSHANSING,Independent,227,2,229,0.12,54
13,MUKESH RAJAK,Independent,566,0,566,0.3,54
14,MAJOR GENERAL(DR) RAJENDRA SINGH THAKUR,Independent,1708,3,1711,0.91,54
15,VIKRAM SINGH,Independent,568,2,570,0.3,54
16,SANJAY SETH SADGUWAN(BHOLU),Independent,1405,1,1406,0.75,54
17,SANTOSH SONI,Independent,1001,0,1001,0.53,54
18,NOTA,None of the Above,708,4,712,0.38,54
1,AJAY KUMAR TANDON,Indian National Congress,59821,1106,60927,32.44,55
2,CHAHAT PANDEY,Aam Aadmi Party,2275,17,2292,1.22,55
3,JAYANT MALAIYA,Bharatiya Janata Party,111449,829,112278,59.79,55
4,PRATAP ROHIT (AHIRWAR),Bahujan Samaj Party,3146,32,3178,1.69,55
5,DOLAT SINGH LODHI,Bhartiya Shakti Chetna Party,2482,11,2493,1.33,55
6,DRAGPAL SINGH LODHI,Samajwadi Party,904,6,910,0.48,55
7,NARENDRA /AACHARYA POORAN SINGH LODHI,Pichhara Samaj Party United,86,1,87,0.05,55
8,NAVEEN BOUDH,Aazad Samaj Party (Kanshi Ram),674,2,676,0.36,55
9,AJAY BHAIYA,Independent,139,1,140,0.07,55
10,AJAY KUMAR,Independent,120,9,129,0.07,55
11,JAYANT,Independent,124,0,124,0.07,55
12,JAYANT KUMAR,Independent,158,1,159,0.08,55
13,JAYANT BHAIYA,Independent,306,0,306,0.16,55
14,"""NISHANT PATHAK NIKKI BHAIYA""",Independent,811,1,812,0.43,55
15,RAHUL,Independent,427,0,427,0.23,55
16,RAHUL BHAIYA,Independent,858,0,858,0.46,55
17,RAHUL BHAIYA,Independent,659,1,660,0.35,55
18,"RICHA PURSHOTTAM CHOUBEY ""HARI OM""",Independent,173,1,174,0.09,55
19,SHAHRUKH KHAN MANSOORI (NETAJI),Independent,643,0,643,0.34,55
20,NOTA,None of the Above,517,11,528,0.28,55
1,DHARMENDRA BHAV SINGH LODHI,Bharatiya Janata Party,72048,201,72249,37.21,56
2,PRATAP SINGH,Indian National Congress,55726,640,56366,29.03,56
3,VINOD RAI,Gondvana Gantantra Party,52438,219,52657,27.12,56
4,DR. SUJAN SINGH THAKUR,Bhartiya Shakti Chetna Party,6080,28,6108,3.15,56
5,DHARMENDRA SINGH,Independent,475,3,478,0.25,56
6,PRATAP SINGH LODHI,Independent,214,0,214,0.11,56
7,PRATAP BHAIYA,Independent,233,2,235,0.12,56
8,BASANT RAI,Independent,545,1,546,0.28,56
9,BHAGWAN DAS PRAJAPATI,Independent,442,1,443,0.23,56
10,RAGHVENDRA SINGH,Independent,619,3,622,0.32,56
11,VINOD BHAIYA,Independent,1456,1,1457,0.75,56
12,VINOD JEE BHAISAB,Independent,756,0,756,0.39,56
13,NOTA,None of the Above,2014,9,2023,1.04,56
1,Smt Umadevi Lalchand Khatik,Bharatiya Janata Party,106129,417,106546,58.48,57
2,PRADEEP KHATIK,Indian National Congress,48766,759,49525,27.18,57
3,BHAGWAN DAS CHOUDHARY,Bahujan Samaj Party,19188,174,19362,10.63,57
4,AMOL CHOUDHARY,Samajwadi Party,472,2,474,0.26,57
5,OMVATI / SANJAY ATHYA,Bhartiya Shakti Chetna Party,1967,16,1983,1.09,57
6,Akash / Laxmi Kori,Independent,339,1,340,0.19,57
7,KODULAL AHIRWAL,Independent,319,0,319,0.18,57
8,Devraj Singh Sooryavanshi (Ahirwar),Independent,644,1,645,0.35,57
9,Lalchand Kashyap (Kori),Independent,814,0,814,0.45,57
10,NOTA,None of the Above,2179,8,2187,1.2,57
1,PRAHLAD LODHI,Bharatiya Janata Party,106126,285,106411,49.76,58
2,PANDIT MUKESH NAYAK,Indian National Congress,83610,758,84368,39.45,58
3,HEMANT RISHIRAJ SINGH,Bahujan Samaj Party,3305,9,3314,1.55,58
4,ASHISH KUMAR KUSHWAHA,Jan Adhikar Party,427,0,427,0.2,58
5,BEERAN PATEL,Rashtriya Jansanchar Dal,278,0,278,0.13,58
6,BHARAT LAL PATEL,Vastavik Bharat Party,267,4,271,0.13,58
7,RAJANI YADAV,Samajwadi Party,2889,7,2896,1.35,58
8,RAMPAL SINGH GONDELA,Bhartiya Ganrajya Party,4100,9,4109,1.92,58
9,ANAND KUMAR VISHWAKARMA,Independent,844,0,844,0.39,58
10,ASHISH,Independent,455,0,455,0.21,58
11,PRAHALAD,Independent,732,1,733,0.34,58
12,PRAHLAD KUMAR PRAJAPATI,Independent,569,1,570,0.27,58
13,PRAHLAD LODHI,Independent,676,1,677,0.32,58
14,RAMMOORTI CHOURASHIYA,Independent,926,0,926,0.43,58
15,VIJAY KUMAR SONI,Independent,1678,0,1678,0.78,58
16,HARI LAL CHOUDHARY RETIRED T.I.,Independent,3383,4,3387,1.58,58
17,NOTA,None of the Above,2496,2,2498,1.17,58
1,JEEVAN LAL SIDDHARTH,Indian National Congress,75183,853,76036,45.2,59
2,DEVIDEEN 'ASHU',Bahujan Samaj Party,5927,19,5946,3.53,59
3,RAJESH KUMAR VERMA,Bharatiya Janata Party,76907,289,77196,45.89,59
4,AMITA BAGRI,Samajwadi Party,3874,18,3892,2.31,59
5,ARViND- BAGRI,Vindhya Janta Party,495,3,498,0.3,59
6,JEETENDRA KUMAR DAHAYAT,Jan Adhikar Party,438,3,441,0.26,59
7,SHRI - POORAN LAL KORI,Peoples Party of India (Democratic),595,3,598,0.36,59
8,PARSU CHAUDHARY,Independent,778,1,779,0.46,59
9,SANT LAL PRAJAPATI URF- TIGER,Independent,808,1,809,0.48,59
10,NOTA,None of the Above,2008,4,2012,1.2,59
1,Brijendra Pratap Singh,Bharatiya Janata Party,96283,385,96668,51.15,60
2,Bharat Milan Pandey,Indian National Congress,77747,1011,78758,41.67,60
3,Vimla Ahirwar,Bahujan Samaj Party,2843,12,2855,1.51,60
4,Lodhi Mahendra Pal Verma,Samajwadi Party,2870,7,2877,1.52,60
5,Mevalal Ahirwar,Aazad Samaj Party (Kanshi Ram),1137,1,1138,0.6,60
6,Jigyasa Kanojiya,Independent,879,2,881,0.47,60
7,Nand Kumar Vyas,Independent,484,0,484,0.26,60
8,Firoj Khan,Independent,364,0,364,0.19,60
9,Mohammad Ikram,Independent,635,0,635,0.34,60
10,Rajesh Shrivastav,Independent,1056,0,1056,0.56,60
11,Sonelal Prajapati,Independent,911,2,913,0.48,60
12,NOTA,None of the Above,2364,0,2364,1.25,60
1,NEELANSHU,Indian National Congress,50393,946,51339,32.99,61
2,"SUBHASH SHARMA ""DOLI""",Bahujan Samaj Party,31560,237,31797,20.43,61
3,SURENDRA SINGH GAHARWAR,Bharatiya Janata Party,57649,360,58009,37.27,61
4,Er. Ashok KUMAR SHUKLA,Vindhya Janta Party,811,1,812,0.52,61
5,KODU LAL BHARTI,Bahujan Dravida Party,585,0,585,0.38,61
6,BHAIYAMAN PRAJAPATI BALKHADIYA,Peoples Party of India (Democratic),224,1,225,0.14,61
7,YOGESH GAUTAM URF GURU GORAKH NATH,Satyanishth Jan Sewak Party,316,1,317,0.2,61
8,Raja Ram Singh gond,All India Forward Bloc,405,1,406,0.26,61
9,SARITA JAY PRAKASH KUSHWAHA,Jan Adhikar Party,613,4,617,0.4,61
10,SANJAY SINGH,Samajwadi Party,6315,32,6347,4.08,61
11,Sanjeev Shikdar,Nyaydharmsabha,222,1,223,0.14,61
12,AWADH BIHARI MISHRA,Independent,351,1,352,0.23,61
13,KRISHNA KISHOR GAUTAM,Independent,366,1,367,0.24,61
14,BABULAL CHAUDHARY,Independent,1062,1,1063,0.68,61
15,RAJ KUMAR URF GOLU YADAV,Independent,688,0,688,0.44,61
16,RAMLAL KORI,Independent,1330,0,1330,0.85,61
17,NOTA,None of the Above,1152,2,1154,0.74,61
1,KALPANA VERMA,Indian National Congress,40841,725,41566,26.46,62
2,DEVRAJ AHIRWAR,Bahujan Samaj Party,27538,205,27743,17.66,62
3,Pratima Bagri,Bharatiya Janata Party,76965,661,77626,49.42,62
4,VARUN GUJAR 'DINKAL',Aam Aadmi Party,1929,9,1938,1.23,62
5,Indal Prasad,Samajwadi Party,505,5,510,0.32,62
6,GOPI,Indian Peoples Adhikar Party,143,1,144,0.09,62
7,BAcHcHA SiSODHiYA,Jan Adhikar Party,186,0,186,0.12,62
8,Balram Choedhry,Bharatiya Jan Morcha Party,177,0,177,0.11,62
9,DR. RAJENDRA SINGH,Bahujan Dravida Party,941,5,946,0.6,62
10,RANI BAGRI,Vindhya Janta Party,2211,29,2240,1.43,62
11,SMT-SANJU KORI,Peoples Party of India (Democratic),422,3,425,0.27,62
12,SMT-ARTI VERMA,Independent,482,6,488,0.31,62
13,KESH KALI DOHAR,Independent,421,0,421,0.27,62
14,"DHIRENDRA SHINGH ""DHIRU""",Independent,919,1,920,0.59,62
15,SHiV-NARAYAN-DAHIYA,Independent,755,0,755,0.48,62
16,NOTA,None of the Above,986,5,991,0.63,62
1,GANESH SINGH,Bharatiya Janata Party,65999,598,66597,37.35,63
2,DABBU SIDDHARTH SUKHLAL KUSHWAHA,Indian National Congress,69208,1430,70638,39.61,63
3,SHIVA RATNAKAR CHATURBEDI,Bahujan Samaj Party,33132,435,33567,18.82,63
4,CHANDA KUSHWAHA,Peoples Party of India (Democratic),322,5,327,0.18,63
5,Jitendra Roy (Pourvancal Vale),Bharatiya Jan Morcha Party,178,2,180,0.1,63
6,MUNNI KHAN ADVOCATE,Janata Congress,91,1,92,0.05,63
7,HAJI MOIN KHAN,Samajwadi Party,176,1,177,0.1,63
8,RAMKUSHAL KEVAT,Aapka Gantantra Party,268,2,270,0.15,63
9,RANJANA MISHRA,Nyaydharmsabha,261,0,261,0.15,63
10,HARI OM GUPTA,Vindhya Janta Party,1637,7,1644,0.92,63
11,Harishankar Tiwari (Loha Wala),Sapaks Party,239,5,244,0.14,63
12,AJAY DAHIYA (AJJU BHAIYA),Independent,152,1,153,0.09,63
13,ANOOP PANDAY (BADKHAR),Independent,156,2,158,0.09,63
14,MO. AMEEN (BHINGU BHAI),Independent,260,0,260,0.15,63
15,ARUN KUMAR MISHRA URF PAPPU MISHRA,Independent,393,0,393,0.22,63
16,AHAMAD KHAN,Independent,641,0,641,0.36,63
17,GOPAL CHAUDHARI,Independent,521,1,522,0.29,63
18,JAVED KHAN,Independent,353,0,353,0.2,63
19,TRIBHUWAN PRASAD PANDEY TRIBHUWAN BHAI,Independent,221,0,221,0.12,63
20,DEEPSHIKHA RAHUL SINGH,Independent,59,0,59,0.03,63
21,NASREEN KHAN,Independent,43,1,44,0.02,63
22,MANOJ KUMAR SHRIVASTAVA,Independent,54,0,54,0.03,63
23,RAJ MOHAMMAD,Independent,63,0,63,0.04,63
24,RAJIV KUMAR,Independent,129,0,129,0.07,63
25,RAMMURTY PANDAY,Independent,83,0,83,0.05,63
26,SHIV - VARAN - JEE BAGHA,Independent,71,1,72,0.04,63
27,SUSHIL KUMAR,Independent,103,0,103,0.06,63
28,DR. SANTOSH KUMAR SHARMA,Independent,132,2,134,0.08,63
29,NOTA,None of the Above,874,14,888,0.5,63
1,NAGENDRA SINGH,Bharatiya Janata Party,70240,472,70712,38.59,64
2,YADVENDRA SINGH,Bahujan Samaj Party,52994,349,53343,29.11,64
3,Dr. RASHMI SINGH,Indian National Congress,49470,812,50282,27.44,64
4,DILEEP BUNKAR,Bharatiya Jan Morcha Party,573,2,575,0.31,64
5,RAMSHARN KUSHWHA,Samajwadi Party,1003,6,1009,0.55,64
6,"RAVENDRA PANDEY ""RAUND""",Janata Congress,111,1,112,0.06,64
7,SURAJ SINGH KONI,Vindhya Janta Party,1982,21,2003,1.09,64
8,SANDEEP KUSHWAHA (SANDEEP BAIYA),Bhartiya Shakti Chetna Party,412,3,415,0.23,64
9,NAGENDRA SINGH,Independent,255,1,256,0.14,64
10,MULNIWASI - SMT - NEELU JAISWAL,Independent,311,1,312,0.17,64
11,PREMLAL KUSHWAHA,Independent,431,4,435,0.24,64
12,BIRENDRA SINGH,Independent,442,1,443,0.24,64
13,RAJU TIWARI,Independent,684,1,685,0.37,64
14,SURENDRA KUMAR DWIVEDI,Independent,1054,4,1058,0.58,64
15,NOTA,None of the Above,1604,4,1608,0.88,64
1,DHARMESH GHAI (ROMI),Indian National Congress,54940,536,55476,28.13,65
2,BIRENDRA PRASAD KUSHWAHA,Bahujan Samaj Party,30618,114,30732,15.59,65
3,BAIJNATH KUSHWAHA,Aam Aadmi Party,993,4,997,0.51,65
4,SHRIKANT CHATURVEDI,Bharatiya Janata Party,76525,345,76870,38.98,65
5,Gore Lal Kole,All India Forward Bloc,925,0,925,0.47,65
6,CHANDRAPRAKASH PATEL URF CHHOTU BHAIYA,Samajwadi Party,1097,4,1101,0.56,65
7,NARAYAN TRIPATHI,Vindhya Janta Party,22510,182,22692,11.51,65
8,RAJNISH KUMAR SHUKLA,Bharatiya Jan Morcha Party,489,0,489,0.25,65
9,SUSHEEL (PRADEEP) PAL,Kranti Janshakti Party,547,1,548,0.28,65
10,SANGEETA PURUSHOTTAM KUSHWAHA,Peoples Party of India (Democratic),361,1,362,0.18,65
11,Umes Kumar Dahiya,Independent,307,1,308,0.16,65
12,OMPRAKASH (OP Bhaiya),Independent,485,0,485,0.25,65
13,Gulam Aaka Khan,Independent,966,0,966,0.49,65
14,NARAYAN TIWARI,Independent,484,1,485,0.25,65
15,NASIR KHAN,Independent,731,0,731,0.37,65
16,BHAGAT SINGH LODHI,Independent,2064,1,2065,1.05,65
17,SAMPAT RAWAT,Independent,1057,0,1057,0.54,65
18,NOTA,None of the Above,887,3,890,0.45,65
1,CHHANGELAL KOL,Bahujan Samaj Party,21208,109,21317,11.51,66
2,Dr. RAJENDRA KUMAR SINGH,Indian National Congress,79907,1042,80949,43.72,66
3,RAMKHELAWAN PATEL,Bharatiya Janata Party,74017,442,74459,40.22,66
4,AKHILESH KUMAR PRAJAPATI,Peoples Party of India (Democratic),991,3,994,0.54,66
5,AJAY KUMAR KUSHWAHA,Jan Adhikar Party,207,1,208,0.11,66
6,Amit Tiwari (LALA Bhai),Bharatiya Jan Morcha Party,165,0,165,0.09,66
7,ASHISH KUSHWAHA,Bhartiya Shakti Chetna Party,200,0,200,0.11,66
8,BALKRISHNA YADAV,Samajwadi Party,289,0,289,0.16,66
9,Rameshvar Prasad Patel,Akhil Bhartiya Apna Dal,132,0,132,0.07,66
10,SHASHI SATYENDRA SHARMA,Vindhya Janta Party,301,4,305,0.16,66
11,GAURISHANKAR TRIVENI PRASAD TIWARI,Independent,290,0,290,0.16,66
12,BABA CHHOTE LAL NAT,Independent,207,0,207,0.11,66
13,Mo. Nasim,Independent,338,0,338,0.18,66
14,NEELAM-PUSHPENDRA PANDEY,Independent,1319,2,1321,0.71,66
15,Ramsufal Kewat,Independent,1065,0,1065,0.58,66
16,Er. Virendra Kumar Patel,Independent,998,0,998,0.54,66
17,SURAJ IS GOD,Independent,525,0,525,0.28,66
18,NOTA,None of the Above,1377,2,1379,0.74,66
1,MANIRAJ SINGH,Bahujan Samaj Party,37903,210,38113,19.51,67
2,RAM SHANKAR PAYASi,Indian National Congress,61798,908,62706,32.1,67
3,VIKRAM SINGH (VICKY),Bharatiya Janata Party,84785,502,85287,43.66,67
4,SHASHI DEEPAK SINGH BAGHEL,Aam Aadmi Party,1651,9,1660,0.85,67
5,Anoop Kumar Prajapati,Bahujan Dravida Party,511,0,511,0.26,67
6,ASHOK BAUDH,Jan Adhikar Party,180,0,180,0.09,67
7,PRAMOD KUMAR SHUKLA,Samajwadi Party,197,2,199,0.1,67
8,RAJ Kumar Singh,Peoples Party of India (Democratic),228,1,229,0.12,67
9,DR. RAJENDRA TRIPATHI,Bharatiya Jan Morcha Party,195,0,195,0.1,67
10,LAVKESH SINGH DIKHIT,Bhartiya Shakti Chetna Party,232,2,234,0.12,67
11,AMBIKA KOL BHARTI,Independent,319,0,319,0.16,67
12,Amit Kumar Saket,Independent,396,2,398,0.2,67
13,ONMKARESVAREE TIWARI,Independent,436,0,436,0.22,67
14,SMT.KAVISHRI SINGH,Independent,959,1,960,0.49,67
15,"Brijendra, Prasad Pandey ""BHAI SAHAB""",Independent,590,1,591,0.3,67
16,Mosim khan,Independent,957,0,957,0.49,67
17,RAMKRISHN KOL,Independent,1107,4,1111,0.57,67
18,NOTA,None of the Above,1263,2,1265,0.65,67
1,KANTI KUMAR DUBEY,Communist Party of India (Marxist),1664,24,1688,1.18,68
2,DIVYARAJ SINGH,Bharatiya Janata Party,54577,298,54875,38.42,68
3,RAMGARIB VANVASI,Indian National Congress,34883,677,35560,24.9,68
4,V. D. PANDEY,Bahujan Samaj Party,40676,409,41085,28.77,68
5,SARITA PANDEY,Aam Aadmi Party,866,8,874,0.61,68
6,Er. AVINASH SHUKLA,Rashtravadi Bharat Party,1364,15,1379,0.97,68
7,DEVENDRA KUMAR SHUKLA,Bhartiya Shakti Chetna Party,276,3,279,0.2,68
8,MANOJ SINGH BAGHEL,Vindhya Janta Party,416,2,418,0.29,68
9,ADVOCATE. ROHINI PRASAD KUSHWAHA,Peoples Party of India (Democratic),369,1,370,0.26,68
10,LAXMAN TIWARI,Samajwadi Party,2053,12,2065,1.45,68
11,SHIVKUMAR KUSHWAHA,Jan Adhikar Party,375,1,376,0.26,68
12,SHIV PRASAD SAHU,Bahujan Mukti Party,1097,3,1100,0.77,68
13,CHHEDILAL KOL (RAWAT),Independent,845,3,848,0.59,68
14,LALMANI KUSHWAHA,Independent,978,3,981,0.69,68
15,NOTA,None of the Above,917,3,920,0.64,68
1,ABHAY MISHRA,Indian National Congress,55536,488,56024,34.92,69
2,K. P. TRIPATHI,Bharatiya Janata Party,55181,206,55387,34.53,69
3,PANKAJ SINGH,Bahujan Samaj Party,43992,166,44158,27.53,69
4,NAGENDRA SINGH,Bhartiya Shakti Chetna Party,513,2,515,0.32,69
5,NAGENDR SINGH KARCHULI,All India Forward Bloc,153,0,153,0.1,69
6,UMESH KOL,Independent,179,1,180,0.11,69
7,KAMALBHAN SINGH,Independent,108,1,109,0.07,69
8,TIRATH PRASAD KOL,Independent,91,0,91,0.06,69
9,DIWAKAR PRASAD DWIVEDI (EX-ARMY),Independent,268,5,273,0.17,69
10,DR. RAJNEESH PRAJAPATI,Independent,184,5,189,0.12,69
11,RAKESH PRASAD PANDEY,Independent,194,0,194,0.12,69
12,SANTOSH SHRIDHAR UPADHYAY,Independent,200,0,200,0.12,69
13,SUDHEER KUMAR SAKET,Independent,248,0,248,0.15,69
14,HAFIZ MOHAMMAD ALI,Independent,682,0,682,0.43,69
15,SHRIDHAR DUBEY,Independent,946,0,946,0.59,69
16,NOTA,None of the Above,1062,7,1069,0.67,69
1,DEVENDRA SINGH,Bahujan Samaj Party,24267,126,24393,16.37,70
2,MAHARSHI SINGH,Aam Aadmi Party,661,5,666,0.45,70
3,RAMA SHANKAR SINGH,Indian National Congress,55673,663,56336,37.8,70
4,SIDDHARTH TIWARI 'RAJ',Bharatiya Janata Party,60554,528,61082,40.99,70
5,COMMANDO ARUN GAUTAM (EX-ARMY),Vindhya Janta Party,1781,10,1791,1.2,70
6,KAMALDHARI KUSHWAHA,Bhartiya Shakti Chetna Party,324,2,326,0.22,70
7,TRINETRA SHUKLA,Samajwadi Party,551,0,551,0.37,70
8,RAMLAL KOL,Jan Adhikar Party,172,0,172,0.12,70
9,SANGEETA KOL,Peoples Party of India (Democratic),209,4,213,0.14,70
10,ENGINEER PUSHPRAJ PAL,Independent,608,1,609,0.41,70
11,RAMKALI,Independent,651,2,653,0.44,70
12,SHIROMAN KUSHWAHA,Independent,636,0,636,0.43,70
13,HARI SHANKER,Independent,449,0,449,0.3,70
14,NOTA,None of the Above,1147,1,1148,0.77,70
1,PANDIT UMESH TRIPATHI GHUREHATA,Aam Aadmi Party,3721,26,3747,2.41,71
2,PRADEEP PATEL,Bharatiya Janata Party,69860,259,70119,45.14,71
3,BHAIYALAL KOL,Bahujan Samaj Party,12354,42,12396,7.98,71
4,SUKHENDRA SINGH BANNA,Indian National Congress,62393,552,62945,40.52,71
5,NOOR MOHAMMAD,Samajwadi Party,989,2,991,0.64,71
6,RAM BAHADUR PATEL,Peoples Party of India (Democratic),274,2,276,0.18,71
7,SURESH KUMAR SEN,Bhartiya Shakti Chetna Party,337,0,337,0.22,71
8,DADAN PRASAD MISHRA,Independent,268,0,268,0.17,71
9,DHRUV NARAYAN MISHRA,Independent,349,0,349,0.22,71
10,BRAHM DATTA MISHRA,Independent,969,2,971,0.63,71
11,MEHARUNISHA,Independent,529,3,532,0.34,71
12,SUSHEELA GUPTA,Independent,935,2,937,0.6,71
13,NOTA,None of the Above,1465,8,1473,0.95,71
1,AMARNATH-PATEL URAF-W-BHIYA,Bahujan Samaj Party,30114,137,30251,19.46,72
2,GIRISH GAUTAM,Bharatiya Janata Party,63385,337,63722,40.99,72
3,"DILEEP SINGH ""GUDU BHAIYA""",Aam Aadmi Party,1749,7,1756,1.13,72
4,PADMESH GAUTAM,Indian National Congress,38767,569,39336,25.3,72
5,ASHA TIWARI,Bhartiya Shakti Chetna Party,672,0,672,0.43,72
6,POOJA PATEL,Peoples Party of India (Democratic),209,4,213,0.14,72
7,BANS ROOP KATHEL,Bhagidari Party(P),187,0,187,0.12,72
8,RAHUL DEO SAKET,Bahujan Mukti Party,196,1,197,0.13,72
9,SATEESH TIWARI URAF SATEESH BHAIYA,Vindhya Janta Party,328,1,329,0.21,72
10,SEEMA JAIVEER SINGH SENGAR,Samajwadi Party,14100,52,14152,9.1,72
11,KALPANA RAWAT,Independent,472,6,478,0.31,72
12,CHOTTE LAL SINGH GODE(TEKAM) KADDI,Independent,425,1,426,0.27,72
13,MAHESH PRASAD KORI,Independent,526,1,527,0.34,72
14,RAJ KUMAR PATEL,Independent,423,1,424,0.27,72
15,ADV. RAMYAGYA SONDHIYA,Independent,1607,6,1613,1.04,72
16,NOTA,None of the Above,1172,4,1176,0.76,72
1,ENGINEER NARENDRA PRAJAPATI,Bharatiya Janata Party,78429,325,78754,50.47,73
2,SMT. BABITA SAKET,Indian National Congress,46094,748,46842,30.02,73
3,RAMAYAN SAKET,Bahujan Samaj Party,22837,58,22895,14.67,73
4,VARUN AMBEDKAR (VICKY),Aam Aadmi Party,1102,9,1111,0.71,73
5,GANPATI BANSAL,Aadim Samaj Party,242,0,242,0.16,73
6,JOKHULAL PRAJAPATI,Peoples Party of India (Democratic),224,0,224,0.14,73
7,PRITI VARMA (SAKET),Samajwadi Party,1399,9,1408,0.9,73
8,Mewalal Prajapati,Bhagidari Party(P),192,1,193,0.12,73
9,RAMESH SAKET,Bhartiya Shakti Chetna Party,324,2,326,0.21,73
10,RAMESH CHANDRA,Independent,764,2,766,0.49,73
11,RAJNARAYAN,Independent,544,1,545,0.35,73
12,SHIVDAS KORI,Independent,789,2,791,0.51,73
13,NOTA,None of the Above,1942,5,1947,1.25,73
1,ENG. DEEPAK SINGH PATEL,Aam Aadmi Party,4990,44,5034,3.32,74
2,"MADHUMAS CHANDRA SONI ""BUNCHI BHAI""",Bahujan Samaj Party,8482,42,8524,5.61,74
3,Er. RAJENDRA SHARMA,Indian National Congress,55302,1039,56341,37.11,74
4,RAJENDRA SHUKLA,Bharatiya Janata Party,76939,741,77680,51.16,74
5,ABDUL WAFATI ANSARI,Samajwadi Party,615,1,616,0.41,74
6,"AMIT KUMAR TIWARI, ADVOCATE",Madhya Pradesh Jan Vikas Party,174,2,176,0.12,74
7,DR. TOSHAN SINGH,Sapaks Party,141,3,144,0.09,74
8,Adv. RAVI SHANKAR MANJHI,Peoples Party of India (Democratic),225,6,231,0.15,74
9,RAHAS LAL,National Jagaran Party,145,0,145,0.1,74
10,RAM KUMAR SONI,Bahujan Mukti Party,153,2,155,0.1,74
11,AVINASH SHRIVASTAVA,Independent,145,0,145,0.1,74
12,PRADEEP KUMAR BASOR,Independent,601,1,602,0.4,74
13,"SUNIL SONI ""KHADDI-42""",Independent,427,0,427,0.28,74
14,SUMIT SINGH,Independent,474,0,474,0.31,74
15,SUSHIL MISHRA SABAKE MAHARAJ,Independent,239,1,240,0.16,74
16,NOTA,None of the Above,886,7,893,0.59,74
1,"KAPIDHWAJ SINGH ""BHAIYA SAHEB""",Indian National Congress,65624,598,66222,40.11,75
2,NAGENDRA SINGH,Bharatiya Janata Party,68466,249,68715,41.62,75
3,PRAKHAR PRATAP SINGH,Aam Aadmi Party,2198,15,2213,1.34,75
4,SMT. SAROJ RAVIND KOL,Bahujan Samaj Party,18270,78,18348,11.11,75
5,ADVOCATE AMARJEET KUSHWAHA,Jan Adhikar Party,373,0,373,0.23,75
6,AMRESH PATEL,Samajwadi Party,1330,7,1337,0.81,75
7,DHERENDRA SINGH PATEL,Bhartiya Shakti Chetna Party,328,0,328,0.2,75
8,MUL NIWASI YAGYA NIWAS YADAV,Peoples Party of India (Democratic),240,1,241,0.15,75
9,LALMANI TRIPATHI,Communist Party of India,1506,10,1516,0.92,75
10,VIJAY MISHRA,Jan Sewa Driver Party,254,0,254,0.15,75
11,PD. SHIVAMOHAN SHARMA,Rashtravadi Bharat Party,251,0,251,0.15,75
12,MOHD. JUMMAN,Independent,166,0,166,0.1,75
13,DAYA SHANKAR PANDEY,Independent,353,1,354,0.21,75
14,DHINENDRA (GIRDHAR),Independent,260,0,260,0.16,75
15,BRIJENDRA MISHRA,Independent,939,0,939,0.57,75
16,RANNU LAL SAKET,Independent,1297,0,1297,0.79,75
17,RAKESH KUMAR PANDEY,Independent,878,0,878,0.53,75
18,RAM JIYAWAN GUPTA,Independent,712,0,712,0.43,75
